Date,Hour,load,T
01/01/2010,1,2928,24.333333333
01/01/2010,2,2774,25
01/01/2010,3,2671,25
01/01/2010,4,2610,25.666666667
01/01/2010,5,2618,26
01/01/2010,6,2706,26
01/01/2010,7,2829,26.333333333
01/01/2010,8,2967,26.333333333
01/01/2010,9,3148,26.333333333
01/01/2010,10,3348,27
01/01/2010,11,3501,28.333333333
01/01/2010,12,3555,29.666666667
01/01/2010,13,3538,30.333333333
01/01/2010,14,3492,31.666666667
01/01/2010,15,3483,31.666666667
01/01/2010,16,3540,32
01/01/2010,17,3826,31.666666667
01/01/2010,18,4037,30.666666667
01/01/2010,19,3950,30
01/01/2010,20,3799,29.333333333
01/01/2010,21,3644,29
01/01/2010,22,3429,28.666666667
01/01/2010,23,3169,28
01/01/2010,24,2923,27.666666667
01/02/2010,1,2743,27
01/02/2010,2,2628,27
01/02/2010,3,2574,26.333333333
01/02/2010,4,2557,25.666666667
01/02/2010,5,2589,25.333333333
01/02/2010,6,2676,25.333333333
01/02/2010,7,2853,25
01/02/2010,8,3069,24.333333333
01/02/2010,9,3322,24.333333333
01/02/2010,10,3539,24.333333333
01/02/2010,11,3666,24.666666667
01/02/2010,12,3733,24.333333333
01/02/2010,13,3730,24
01/02/2010,14,3689,24.333333333
01/02/2010,15,3651,24.333333333
01/02/2010,16,3690,24.666666667
01/02/2010,17,3991,24
01/02/2010,18,4218,22.333333333
01/02/2010,19,4141,21.333333333
01/02/2010,20,3978,20.333333333
01/02/2010,21,3811,19.666666667
01/02/2010,22,3585,19
01/02/2010,23,3316,18.666666667
01/02/2010,24,3088,17.333333333
01/03/2010,1,2901,17.333333333
01/03/2010,2,2795,17
01/03/2010,3,2726,16.666666667
01/03/2010,4,2696,16.333333333
01/03/2010,5,2698,16
01/03/2010,6,2785,15.666666667
01/03/2010,7,2935,16
01/03/2010,8,3096,16
01/03/2010,9,3330,17.333333333
01/03/2010,10,3537,18.666666667
01/03/2010,11,3617,20
01/03/2010,12,3680,22
01/03/2010,13,3709,22
01/03/2010,14,3682,22.666666667
01/03/2010,15,3650,23.333333333
01/03/2010,16,3707,23.666666667
01/03/2010,17,4024,23.666666667
01/03/2010,18,4226,24
01/03/2010,19,4132,24
01/03/2010,20,3976,24.666666667
01/03/2010,21,3748,25
01/03/2010,22,3462,25.666666667
01/03/2010,23,3144,26
01/03/2010,24,2904,26.666666667
01/04/2010,1,2747,27.333333333
01/04/2010,2,2643,27
01/04/2010,3,2609,27
01/04/2010,4,2653,26.333333333
01/04/2010,5,2762,26.333333333
01/04/2010,6,3060,26
01/04/2010,7,3538,25.666666667
01/04/2010,8,3733,25
01/04/2010,9,3768,25
01/04/2010,10,3774,25.333333333
01/04/2010,11,3805,26.333333333
01/04/2010,12,3831,26.333333333
01/04/2010,13,3817,27.333333333
01/04/2010,14,3799,27
01/04/2010,15,3768,27
01/04/2010,16,3803,27
01/04/2010,17,4047,26
01/04/2010,18,4328,24.666666667
01/04/2010,19,4327,24.333333333
01/04/2010,20,4193,24
01/04/2010,21,4003,23.666666667
01/04/2010,22,3719,23
01/04/2010,23,3367,23
01/04/2010,24,3079,23
01/05/2010,1,2884,23
01/05/2010,2,2799,22.666666667
01/05/2010,3,2762,22.333333333
01/05/2010,4,2762,22.333333333
01/05/2010,5,2858,21.666666667
01/05/2010,6,3149,21
01/05/2010,7,3640,20.666666667
01/05/2010,8,3851,21.666666667
01/05/2010,9,3841,21.666666667
01/05/2010,10,3854,22.333333333
01/05/2010,11,3875,24.333333333
01/05/2010,12,3887,25.666666667
01/05/2010,13,3875,26.333333333
01/05/2010,14,3861,27
01/05/2010,15,3838,27.333333333
01/05/2010,16,3825,27
01/05/2010,17,4069,26.666666667
01/05/2010,18,4323,26
01/05/2010,19,4316,25.666666667
01/05/2010,20,4191,26
01/05/2010,21,4004,25
01/05/2010,22,3730,24.333333333
01/05/2010,23,3372,24
01/05/2010,24,3090,24.333333333
01/06/2010,1,2907,23.666666667
01/06/2010,2,2818,23
01/06/2010,3,2778,23
01/06/2010,4,2774,22.333333333
01/06/2010,5,2862,22.666666667
01/06/2010,6,3150,23
01/06/2010,7,3658,22.666666667
01/06/2010,8,3874,22.333333333
01/06/2010,9,3853,21.333333333
01/06/2010,10,3849,23.333333333
01/06/2010,11,3849,24.333333333
01/06/2010,12,3848,26.333333333
01/06/2010,13,3821,27
01/06/2010,14,3798,28
01/06/2010,15,3766,29.333333333
01/06/2010,16,3806,28.666666667
01/06/2010,17,4073,27.333333333
01/06/2010,18,4313,26
01/06/2010,19,4305,25.333333333
01/06/2010,20,4198,25
01/06/2010,21,4020,24.666666667
01/06/2010,22,3737,25
01/06/2010,23,3377,24.333333333
01/06/2010,24,3100,24
01/07/2010,1,2921,22
01/07/2010,2,2824,23.333333333
01/07/2010,3,2795,23.333333333
01/07/2010,4,2802,22.666666667
01/07/2010,5,2910,23
01/07/2010,6,3193,22.666666667
01/07/2010,7,3684,23
01/07/2010,8,3901,22.666666667
01/07/2010,9,3889,24
01/07/2010,10,3887,25.333333333
01/07/2010,11,3881,27
01/07/2010,12,3859,29.333333333
01/07/2010,13,3795,30.333333333
01/07/2010,14,3767,31.333333333
01/07/2010,15,3713,31.333333333
01/07/2010,16,3734,31.666666667
01/07/2010,17,4002,30.333333333
01/07/2010,18,4278,28.333333333
01/07/2010,19,4266,27
01/07/2010,20,4149,25.666666667
01/07/2010,21,3989,25
01/07/2010,22,3717,23
01/07/2010,23,3383,21.666666667
01/07/2010,24,3105,20.666666667
01/08/2010,1,2923,20.333333333
01/08/2010,2,2833,18
01/08/2010,3,2789,17
01/08/2010,4,2795,16
01/08/2010,5,2898,16.666666667
01/08/2010,6,3182,16
01/08/2010,7,3677,15.666666667
01/08/2010,8,3914,15.666666667
01/08/2010,9,3928,15.666666667
01/08/2010,10,3966,17.333333333
01/08/2010,11,3994,18.666666667
01/08/2010,12,3971,19.666666667
01/08/2010,13,3921,20
01/08/2010,14,3889,20.333333333
01/08/2010,15,3841,20.666666667
01/08/2010,16,3846,21
01/08/2010,17,4069,20.333333333
01/08/2010,18,4249,20
01/08/2010,19,4183,19.666666667
01/08/2010,20,4062,19.666666667
01/08/2010,21,3896,19.333333333
01/08/2010,22,3687,18.666666667
01/08/2010,23,3398,19.666666667
01/08/2010,24,3128,20
01/09/2010,1,2924,19.333333333
01/09/2010,2,2823,19.333333333
01/09/2010,3,2776,18.666666667
01/09/2010,4,2761,19
01/09/2010,5,2800,17.666666667
01/09/2010,6,2916,15.666666667
01/09/2010,7,3139,13.666666667
01/09/2010,8,3370,12
01/09/2010,9,3598,11.333333333
01/09/2010,10,3752,13.666666667
01/09/2010,11,3789,14.666666667
01/09/2010,12,3765,15.333333333
01/09/2010,13,3699,16.666666667
01/09/2010,14,3634,17.333333333
01/09/2010,15,3591,17
01/09/2010,16,3633,17
01/09/2010,17,3899,16
01/09/2010,18,4182,14.666666667
01/09/2010,19,4139,13
01/09/2010,20,4017,11
01/09/2010,21,3884,9
01/09/2010,22,3702,7.6666666667
01/09/2010,23,3449,6.6666666667
01/09/2010,24,3206,6.3333333333
01/10/2010,1,3035,5
01/10/2010,2,2944,3.6666666667
01/10/2010,3,2890,2.3333333333
01/10/2010,4,2879,2.6666666667
01/10/2010,5,2904,3.3333333333
01/10/2010,6,2993,2.3333333333
01/10/2010,7,3166,2.6666666667
01/10/2010,8,3367,2
01/10/2010,9,3610,3
01/10/2010,10,3761,5.3333333333
01/10/2010,11,3807,11
01/10/2010,12,3815,13
01/10/2010,13,3786,15.666666667
01/10/2010,14,3727,17.333333333
01/10/2010,15,3670,18.666666667
01/10/2010,16,3685,19
01/10/2010,17,3982,19
01/10/2010,18,4258,17.666666667
01/10/2010,19,4206,17
01/10/2010,20,4070,14.666666667
01/10/2010,21,3878,15
01/10/2010,22,3596,14.333333333
01/10/2010,23,3282,13.666666667
01/10/2010,24,3049,14.666666667
01/11/2010,1,2907,14.666666667
01/11/2010,2,2834,14.333333333
01/11/2010,3,2813,14
01/11/2010,4,2820,13
01/11/2010,5,2934,11
01/11/2010,6,3242,11
01/11/2010,7,3769,10.666666667
01/11/2010,8,3968,9.3333333333
01/11/2010,9,3966,11
01/11/2010,10,3957,14.333333333
01/11/2010,11,3982,20.333333333
01/11/2010,12,3971,25.666666667
01/11/2010,13,3931,27.666666667
01/11/2010,14,3894,29
01/11/2010,15,3833,29.333333333
01/11/2010,16,3843,29.666666667
01/11/2010,17,4084,29.333333333
01/11/2010,18,4331,28.333333333
01/11/2010,19,4310,27.666666667
01/11/2010,20,4182,27.666666667
01/11/2010,21,3979,27
01/11/2010,22,3678,26
01/11/2010,23,3335,25.333333333
01/11/2010,24,3058,25.333333333
01/12/2010,1,2890,25
01/12/2010,2,2803,24.666666667
01/12/2010,3,2765,24
01/12/2010,4,2775,23.333333333
01/12/2010,5,2863,23
01/12/2010,6,3156,22.666666667
01/12/2010,7,3672,22.666666667
01/12/2010,8,3886,22.666666667
01/12/2010,9,3880,21.666666667
01/12/2010,10,3896,22.333333333
01/12/2010,11,3925,21.333333333
01/12/2010,12,3905,21.666666667
01/12/2010,13,3880,22.333333333
01/12/2010,14,3866,22.666666667
01/12/2010,15,3843,22.333333333
01/12/2010,16,3861,21.333333333
01/12/2010,17,4099,19.333333333
01/12/2010,18,4385,17
01/12/2010,19,4397,15.333333333
01/12/2010,20,4282,14
01/12/2010,21,4098,13
01/12/2010,22,3823,10.666666667
01/12/2010,23,3495,9.6666666667
01/12/2010,24,3229,10.666666667
01/13/2010,1,3068,8.6666666667
01/13/2010,2,2988,8.3333333333
01/13/2010,3,2951,6.3333333333
01/13/2010,4,2960,6
01/13/2010,5,3062,5.6666666667
01/13/2010,6,3363,5.3333333333
01/13/2010,7,3897,4
01/13/2010,8,4118,4.6666666667
01/13/2010,9,4102,5.3333333333
01/13/2010,10,4087,8.3333333333
01/13/2010,11,4092,14
01/13/2010,12,4072,17.333333333
01/13/2010,13,4012,19.333333333
01/13/2010,14,3979,20.333333333
