Date,Hour,load,T
01/01/2013,1,2866,29.333333333
01/01/2013,2,2710,29.333333333
01/01/2013,3,2605,30
01/01/2013,4,2567,31.666666667
01/01/2013,5,2596,31
01/01/2013,6,2678,28.333333333
01/01/2013,7,2801,28
01/01/2013,8,2948,27
01/01/2013,9,3142,26
01/01/2013,10,3353,26
01/01/2013,11,3489,24.666666667
01/01/2013,12,3544,24.333333333
01/01/2013,13,3522,24.333333333
01/01/2013,14,3477,24.666666667
01/01/2013,15,3483,25
01/01/2013,16,3542,24
01/01/2013,17,3911,22
01/01/2013,18,4207,20
01/01/2013,19,4168,18.333333333
01/01/2013,20,4048,16.333333333
01/01/2013,21,3854,15.666666667
01/01/2013,22,3606,13.333333333
01/01/2013,23,3292,13
01/01/2013,24,3049,10.333333333
01/02/2013,1,2924,10
01/02/2013,2,2856,9.6666666667
01/02/2013,3,2825,9.3333333333
01/02/2013,4,2865,9.6666666667
01/02/2013,5,2979,8.3333333333
01/02/2013,6,3294,7.6666666667
01/02/2013,7,3798,7
01/02/2013,8,4009,8.3333333333
01/02/2013,9,4047,10
01/02/2013,10,4076,12.666666667
01/02/2013,11,4075,16.333333333
01/02/2013,12,4056,17.666666667
01/02/2013,13,4033,19
01/02/2013,14,4012,19.666666667
01/02/2013,15,3967,17.333333333
01/02/2013,16,4000,16.666666667
01/02/2013,17,4275,15.333333333
01/02/2013,18,4552,13
01/02/2013,19,4541,11
01/02/2013,20,4455,9
01/02/2013,21,4276,6.6666666667
01/02/2013,22,4033,4.6666666667
01/02/2013,23,3703,2.6666666667
01/02/2013,24,3436,1.3333333333
01/03/2013,1,3279,0.3333333333
01/03/2013,2,3196,0
01/03/2013,3,3142,-1
01/03/2013,4,3159,-1.666666667
01/03/2013,5,3262,-0.666666667
01/03/2013,6,3550,-2.666666667
01/03/2013,7,4039,-3.333333333
01/03/2013,8,4239,-3.333333333
01/03/2013,9,4236,-2
01/03/2013,10,4199,1
01/03/2013,11,4190,6
01/03/2013,12,4139,8.3333333333
01/03/2013,13,4064,10.666666667
01/03/2013,14,4042,12.666666667
01/03/2013,15,4008,13.666666667
01/03/2013,16,4027,15.333333333
01/03/2013,17,4268,15
01/03/2013,18,4540,13
01/03/2013,19,4537,12
01/03/2013,20,4439,9.3333333333
01/03/2013,21,4238,8.3333333333
01/03/2013,22,3966,6
01/03/2013,23,3622,7.6666666667
01/03/2013,24,3334,9
01/04/2013,1,3163,9
01/04/2013,2,3081,8.6666666667
01/04/2013,3,3041,9.3333333333
01/04/2013,4,3035,9.6666666667
01/04/2013,5,3133,10.333333333
01/04/2013,6,3405,10.333333333
01/04/2013,7,3857,11
01/04/2013,8,4078,12.333333333
01/04/2013,9,4112,17.333333333
01/04/2013,10,4127,19.333333333
01/04/2013,11,4125,22.333333333
01/04/2013,12,4065,25.666666667
01/04/2013,13,3984,30
